BOROUGH,DAY_NIGHT_BAND,HOUR_OF_DAY,AVG_MPH
Staten Island,NOCTURNO (22h-6h),22,82.941282955102
Staten Island,NOCTURNO (22h-6h),23,355.485430786441
Unknown,NOCTURNO (22h-6h),0,26.887079633071
Unknown,NOCTURNO (22h-6h),1,27.928560936356
Unknown,NOCTURNO (22h-6h),2,29.403187307360
Unknown,NOCTURNO (22h-6h),3,28.319900333353
Unknown,NOCTURNO (22h-6h),4,36.084625073040
Unknown,NOCTURNO (22h-6h),5,35.806316499418
Unknown,DIURNO (6h-22h),6,23.312996415047
Unknown,DIURNO (6h-22h),7,19.276416775600
Unknown,DIURNO (6h-22h),8,16.079766177382
Unknown,DIURNO (6h-22h),9,16.382583706389
Unknown,DIURNO (6h-22h),10,17.102908419832
Unknown,DIURNO (6h-22h),11,16.897044099979
Unknown,DIURNO (6h-22h),12,17.479189716465
Unknown,DIURNO (6h-22h),13,17.831359764348
Unknown,DIURNO (6h-22h),14,17.382073231668
Unknown,DIURNO (6h-22h),15,18.641149707112
Unknown,DIURNO (6h-22h),16,19.834742104592
Unknown,DIURNO (6h-22h),17,17.900792162665
Unknown,DIURNO (6h-22h),18,17.543826101926
Unknown,DIURNO (6h-22h),19,17.198939023947
Unknown,DIURNO (6h-22h),20,19.120103095838
Unknown,DIURNO (6h-22h),21,19.896398802659
Unknown,NOCTURNO (22h-6h),22,20.739652664952
Unknown,NOCTURNO (22h-6h),23,22.986644000792
,NOCTURNO (22h-6h),0,645.378943688091
,NOCTURNO (22h-6h),1,629.504243075509
,NOCTURNO (22h-6h),2,558.159282350786
,NOCTURNO (22h-6h),3,615.838731053518
,NOCTURNO (22h-6h),4,492.368764867551
,NOCTURNO (22h-6h),5,406.395598805240
,DIURNO (6h-22h),6,315.480188101782
,DIURNO (6h-22h),7,275.227686816911
,DIURNO (6h-22h),8,352.410287875036
,DIURNO (6h-22h),9,403.116057413517
,DIURNO (6h-22h),10,383.763870063918
,DIURNO (6h-22h),11,410.888340772429
,DIURNO (6h-22h),12,423.711124841158
,DIURNO (6h-22h),13,375.281899796322
,DIURNO (6h-22h),14,350.747040047376
,DIURNO (6h-22h),15,386.627040883150
,DIURNO (6h-22h),16,356.555454839677
,DIURNO (6h-22h),17,427.078857813586
,DIURNO (6h-22h),18,419.815690983168
,DIURNO (6h-22h),19,511.094204654351
,DIURNO (6h-22h),20,514.876568429358
,DIURNO (6h-22h),21,499.784208476804
,NOCTURNO (22h-6h),22,623.728189791809
,NOCTURNO (22h-6h),23,658.784602816723
